name	type	purchase_stage	purchase_amount	purchase_volume	last_purchase_date	consult_count
포항시정신건강복지센터	전문기관	고려	0	0	-	4
광산구정신건강복지센터	전문기관	고려	0	0	-	8
남구정신건강복지센터	전문기관	인지	0	0	-	0
동구정신건강복지센터	전문기관	인지	0	0	-	0
북구정신건강복지센터	전문기관	인지	0	0	-	0
서구정신건강복지센터	전문기관	인지	0	0	-	0
남구정신건강복지센터	전문기관	인지	0	0	-	0
달서구정신건강복지센터	전문기관	고려	0	0	-	1
달성군정신건강복지센터	전문기관	인지	0	0	-	0
북구정신건강복지센터	전문기관	인지	0	0	-	0
서구정신건강복지센터	전문기관	인지	0	0	-	0
수성구정신건강복지센터	전문기관	인지	0	0	-	0
중구정신건강복지센터	전문기관	인지	0	0	-	0
대덕구정신건강복지센터	전문기관	인지	0	0	-	0
동구정신건강복지센터	전문기관	인지	0	0	-	0
서구정신건강복지센터	전문기관	인지	0	0	-	0
유성구정신건강복지센터	전문기관	인지	0	0	-	0
금정구정신건강복지센터	전문기관	인지	0	0	-	0
기장군정신건강복지센터	전문기관	인지	0	0	-	0
남구정신건강복지센터	전문기관	인지	0	0	-	0
동구정신건강복지센터	전문기관	인지	0	0	-	0
동래구정신건강복지센터	전문기관	인지	0	0	-	0
부산진구정신건강복지센터	전문기관	인지	0	0	-	0
북구정신건강복지센터	전문기관	인지	0	0	-	0
사상구정신건강복지센터	전문기관	인지	0	0	-	0
사하구정신건강복지센터	전문기관	인지	0	0	-	0
서구정신건강복지센터	전문기관	인지	0	0	-	0
수영구정신건강복지센터	전문기관	인지	0	0	-	0
연제구정신건강복지센터	전문기관	고려	0	0	-	1
영도구정신건강복지센터	전문기관	인지	0	0	-	0
중구정신건강복지센터	전문기관	인지	0	0	-	0
해운대구정신건강복지센터	전문기관	인지	0	0	-	0
강남구정신건강복지센터	전문기관	인지	0	0	-	0
강동구정신건강복지센터	전문기관	인지	0	0	-	0
강북구정신건강복지센터	전문기관	인지	0	0	-	0
관악구정신건강복지센터	전문기관	인지	0	0	-	0
구로구정신건강복지센터	전문기관	인지	0	0	-	0
금천구정신건강복지센터	전문기관	인지	0	0	-	0
노원구정신건강복지센터	전문기관	인지	0	0	-	0
도봉구정신건강복지센터	전문기관	인지	0	0	-	0
서대문구정신건강복지센터	전문기관	인지	0	0	-	0
서초구정신건강복지센터	전문기관	인지	0	0	-	0
성동구정신건강복지센터	전문기관	인지	0	0	-	0
성북구정신건강복지센터	전문기관	인지	0	0	-	0
양천구정신건강복지센터	전문기관	인지	0	0	-	0
영등포구정신건강복지센터	전문기관	인지	0	0	-	0
용산구정신건강복지센터	전문기관	관심	0	0	-	1
은평구정신건강복지센터	전문기관	인지	0	0	-	0
중구정신건강복지센터	전문기관	인지	0	0	-	0
중랑구정신건강복지센터	전문기관	인지	0	0	-	0
세종시정신건강복지센터	전문기관	인지	0	0	-	0
남구정신건강복지센터	전문기관	인지	0	0	-	0
북구정신건강복지센터	전문기관	인지	0	0	-	0
울주군정신건강복지센터	전문기관	인지	0	0	-	0
중구정신건강복지센터	전문기관	인지	0	0	-	0
강화군정신건강복지센터	전문기관	인지	0	0	-	0
계양구정신건강복지센터	전문기관	인지	0	0	-	0
남동구정신건강복지센터	전문기관	인지	0	0	-	0
동구정신건강복지센터	전문기관	인지	0	0	-	0
미추홀구정신건강복지센터	전문기관	고려	0	0	-	2
부평구정신건강복지센터	전문기관	인지	0	0	-	0
서구정신건강복지센터	전문기관	인지	0	0	-	0
연수구정신건강복지센터	전문기관	인지	0	0	-	0
중구정신건강복지센터	전문기관	인지	0	0	-	0
강진군정신건강복지센터	전문기관	인지	0	0	-	0
고흥군정신건강복지센터	전문기관	인지	0	0	-	0
곡성군정신건강복지센터	전문기관	인지	0	0	-	0
광양시정신건강복지센터	전문기관	인지	0	0	-	0
구례군정신건강복지센터	전문기관	인지	0	0	-	0
나주시정신건강복지센터	전문기관	인지	0	0	-	0
담양군정신건강복지센터	전문기관	인지	0	0	-	0
목포시정신건강복지센터	전문기관	인지	0	0	-	0
무안군정신건강복지센터	전문기관	인지	0	0	-	0
보성군정신건강복지센터	전문기관	인지	0	0	-	0
순천시정신건강복지센터	전문기관	고려	0	0	-	1
신안군정신건강복지센터	전문기관	인지	0	0	-	0
여수시정신건강복지센터	전문기관	인지	0	0	-	0
영광군정신건강복지센터	전문기관	인지	0	0	-	0
영암군정신건강복지센터	전문기관	인지	0	0	-	0
완도군정신건강복지센터	전문기관	인지	0	0	-	0
장성군정신건강복지센터	전문기관	인지	0	0	-	0
진도군정신건강복지센터	전문기관	인지	0	0	-	0
함평군정신건강복지센터	전문기관	인지	0	0	-	0
해남군정신건강복지센터	전문기관	인지	0	0	-	0
화순군정신건강복지센터	전문기관	인지	0	0	-	0
고창군정신건강복지센터	전문기관	인지	0	0	-	0
군산시정신건강복지센터	전문기관	인지	0	0	-	0
김제시정신건강복지센터	전문기관	인지	0	0	-	0
남원시정신건강복지센터	전문기관	인지	0	0	-	0
무주군정신건강복지센터	전문기관	인지	0	0	-	0
부안군정신건강복지센터	전문기관	고려	0	0	-	6
순창군정신건강복지센터	전문기관	인지	0	0	-	0
익산시정신건강복지센터	전문기관	고려	0	0	-	3
임실군정신건강복지센터	전문기관	인지	0	0	-	0
장수군정신건강복지센터	전문기관	인지	0	0	-	0
정읍시정신건강복지센터	전문기관	인지	0	0	-	0
진안군정신건강복지센터	전문기관	인지	0	0	-	0
서귀포시정신건강복지센터	전문기관	인지	0	0	-	0
계룡시정신건강복지센터	전문기관	인지	0	0	-	0
공주시정신건강복지센터	전문기관	인지	0	0	-	0
금산군정신건강복지센터	전문기관	인지	0	0	-	0
논산시정신건강복지센터	전문기관	인지	0	0	-	0
당진시정신건강복지센터	전문기관	인지	0	0	-	0
보령시정신건강복지센터	전문기관	인지	0	0	-	0
부여군정신건강복지센터	전문기관	인지	0	0	-	0
서산시정신건강복지센터	전문기관	인지	0	0	-	0
서천군정신건강복지센터	전문기관	인지	0	0	-	0
아산시정신건강복지센터	전문기관	인지	0	0	-	0
예산군정신건강복지센터	전문기관	인지	0	0	-	0
천안시정신건강복지센터	전문기관	인지	0	0	-	0
청양군정신건강복지센터	전문기관	인지	0	0	-	0
태안군정신건강복지센터	전문기관	인지	0	0	-	0
홍성군정신건강복지센터	전문기관	인지	0	0	-	0
괴산군정신건강복지센터	전문기관	인지	0	0	-	0
단양군정신건강복지센터	전문기관	인지	0	0	-	0
보은군정신건강복지센터	전문기관	관심	0	0	-	1
영동군정신건강복지센터	전문기관	인지	0	0	-	0
옥천군정신건강복지센터	전문기관	인지	0	0	-	0
음성군정신건강복지센터	전문기관	인지	0	0	-	0
제천시정신건강복지센터	전문기관	고려	0	0	-	2
증평군정신건강복지센터	전문기관	인지	0	0	-	0
진천군정신건강복지센터	전문기관	인지	0	0	-	0
충주시정신건강복지센터	전문기관	인지	0	0	-	0
강릉시중독관리통합지원센터	전문기관	인지	0	0	-	0
원주시중독관리통합지원센터	전문기관	인지	0	0	-	0
춘천시중독관리통합지원센터	전문기관	관심	0	0	-	3
고양시중독관리통합지원센터	전문기관	인지	0	0	-	0
안산시중독관리통합지원센터	전문기관	인지	0	0	-	0
안양시중독관리통합지원센터	전문기관	인지	0	0	-	0
평택시중독관리통합지원센터	전문기관	인지	0	0	-	0
화성시중독관리통합지원센터	전문기관	고려	0	0	-	2
양산시중독관리통합지원센터	전문기관	관심	0	0	-	1
경산시중독관리통합지원센터	전문기관	인지	0	0	-	0
포항시중독관리통합지원센터	전문기관	인지	0	0	-	0
광산구중독관리통합지원센터	전문기관	인지	0	0	-	0
서구중독관리통합지원센터	전문기관	인지	0	0	-	0
북구중독관리통합지원센터	전문기관	인지	0	0	-	0
수성구중독관리통합지원센터	전문기관	인지	0	0	-	0
중구중독관리통합지원센터	전문기관	인지	0	0	-	0
동래구중독관리통합지원센터	전문기관	인지	0	0	-	0
부산진구중독관리통합지원센터	전문기관	인지	0	0	-	0
사하구중독관리통합지원센터	전문기관	인지	0	0	-	0
해운대구중독관리통합지원센터	전문기관	인지	0	0	-	0
강남구중독관리통합지원센터	전문기관	인지	0	0	-	0
강서구중독관리통합지원센터	전문기관	인지	0	0	-	0
